"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Datetime
Benin,26952,0,163,0,25506,0,1283,5,2121,13,604310,47556,12707376,Africa,471,77959,21,0.0,0.0,101.0,2022-05-04
Somalia,26485,0,1350,0,13182,0,11953,0,1585,81,400466,23967,16708914,Africa,631,12377,42,0.0,0.0,715.0,2022-05-04
Congo,24079,0,385,0,20178,0,3516,0,4175,67,347815,60301,5767972,Africa,240,14982,17,0.0,0.0,610.0,2022-05-04
Saint Lucia,23538,56,368,0,22953,32,217,0,127114,1987,143281,773772,185172,North America,8,503,1,302.0,0.0,1172.0,2022-05-04
Timor-Leste,22879,4,130,0,22730,0,19,0,16765,95,263136,192823,1364654,Asia,60,10497,5,3.0,0.0,14.0,2022-05-04
Cayman Islands,22828,605,27,0,8553,0,14248,1,339996,402,222773,3317938,67142,North America,3,2487,0,9011.0,0.0,212207.0,2022-05-04
Burkina Faso,20853,0,382,0,20439,0,32,0,950,17,248995,11340,21957721,Africa,1053,57481,88,0.0,0.0,1.0,2022-05-04
Nicaragua,18491,0,225,0,4225,0,14041,0,2731,33,0,0,6769616,North America,366,30087,0,0.0,0.0,2074.0,2022-05-04
Gibraltar,17837,0,102,0,16579,0,1156,0,529728,3029,534283,15867278,33672,Europe,2,330,0,0.0,0.0,34331.0,2022-05-04
South Sudan,17490,3,138,0,13514,0,3838,1,1529,12,385179,33683,11435268,Africa,654,82864,30,0.3,0.0,336.0,2022-05-04
Tajikistan,17388,0,124,0,17264,0,0,0,1751,12,0,0,9931799,Asia,571,80095,0,0.0,0.0,0.0,2022-05-04
Liechtenstein,17225,13,84,0,17058,27,83,0,449399,2192,102174,2665710,38329,Europe,2,456,0,339.0,0.0,2165.0,2022-05-04
San Marino,16561,37,115,0,16175,23,271,4,486202,3376,152231,4469233,34062,Europe,2,296,0,1086.0,0.0,7956.0,2022-05-04
Equatorial Guinea,15908,0,183,0,15701,0,24,5,10693,123,316462,212710,1487765,Africa,94,8130,5,0.0,0.0,16.0,2022-05-04
Solomon Islands,15677,0,141,0,14109,0,1427,2,21838,196,5117,7128,717874,Australia/Oceania,46,5091,140,0.0,0.0,1988.0,2022-05-04
Djibouti,15631,0,189,0,15427,0,15,0,15408,186,305941,301586,1014442,Africa,65,5367,3,0.0,0.0,15.0,2022-05-04
Grenada,14984,241,220,0,14229,118,535,4,132037,1939,151734,1337064,113483,North America,8,516,1,2124.0,0.0,4714.0,2022-05-04
CAR,14649,0,113,0,6859,0,7677,2,2939,23,81294,16310,4984299,Africa,340,44109,61,0.0,0.0,1540.0,2022-05-04
Bermuda,13832,344,131,0,13289,308,412,0,223620,2118,885175,14310484,61855,North America,4,472,0,5561.0,0.0,6661.0,2022-05-04
Dominica,12161,0,63,0,12025,0,73,0,168167,871,191084,2642384,72315,North America,6,1148,0,0.0,0.0,1009.0,2022-05-04
Gambia,11995,0,365,0,11591,0,39,0,4720,144,155686,61256,2541564,Africa,212,6963,16,0.0,0.0,15.0,2022-05-04
Greenland,11971,0,21,0,2761,0,9189,4,210198,369,164926,2895928,56951,North America,5,2712,0,0.0,0.0,161349.0,2022-05-04
Monaco,11869,45,54,0,11672,19,143,4,298561,1358,54960,1382502,39754,Europe,3,736,1,1132.0,0.0,3597.0,2022-05-04
Yemen,11819,0,2149,0,9009,0,661,23,381,69,265253,8547,31034623,Asia,2626,14441,117,0.0,0.0,21.0,2022-05-04
Tonga,10494,0,11,0,9255,0,1228,0,97257,102,486186,4505894,107900,Australia/Oceania,10,9809,0,0.0,0.0,11381.0,2022-05-04
Saint Martin,10462,0,63,0,1399,0,9000,7,262344,1580,112382,2818075,39879,North America,4,633,0,0.0,0.0,225683.0,2022-05-04
Samoa,10210,0,20,0,1605,0,8585,4,50836,100,73313,365030,200841,Australia/Oceania,20,10042,3,0.0,0.0,42745.0,2022-05-04
Sint Maarten,10065,0,86,0,9913,0,66,10,229942,1965,62056,1417710,43772,North America,4,509,1,0.0,0.0,1508.0,2022-05-04
Caribbean Netherlands,9804,3,34,0,9714,6,56,0,367576,1275,30126,1129499,26672,North America,3,784,1,112.0,0.0,2100.0,2022-05-04
Eritrea,9735,1,103,0,9631,0,1,0,2677,28,23693,6515,3636755,Africa,374,35308,153,0.3,0.0,0.3,2022-05-04
Niger,8957,3,309,0,8550,19,98,1,347,12,250880,9717,25818202,Africa,2882,83554,103,0.1,0.0,4.0,2022-05-04
Guinea-Bissau,8210,8,171,0,7530,2,509,6,3998,83,134817,65650,2053579,Africa,250,12009,15,4.0,0.0,248.0,2022-05-04
Comoros,8100,0,160,0,7933,0,7,0,8963,177,0,0,903685,Africa,112,5648,0,0.0,0.0,8.0,2022-05-04
Sierra Leone,7681,0,125,0,0,0,0,0,928,15,259958,31413,8275476,Africa,1077,66204,32,0.0,0.0,331.0,2022-05-04
Vanuatu,7658,68,14,1,7137,114,507,3,23905,44,24976,77965,320350,Australia/Oceania,42,22882,13,212.0,3.0,1583.0,2022-05-04
Antigua and Barbuda,7654,28,137,1,7464,21,53,1,76986,1378,18901,190111,99421,North America,13,726,5,282.0,10.0,533.0,2022-05-04
Liberia,7434,0,294,0,5747,0,1393,2,1409,56,139824,26500,5276394,Africa,710,17947,38,0.0,0.0,264.0,2022-05-04
Chad,7412,0,193,0,4874,0,2345,0,429,11,191341,11065,17292916,Africa,2333,89601,90,0.0,0.0,136.0,2022-05-04
St. Vincent Grenadines,6786,0,106,0,6641,0,39,0,60813,950,98944,886690,111588,North America,16,1053,1,0.0,0.0,349.0,2022-05-04
British Virgin Islands,6355,0,62,0,0,0,0,1,207673,2026,103049,3367504,30601,North America,5,494,0,0.0,0.0,3366.0,2022-05-04
Turks and Caicos,5995,0,36,0,5918,0,41,4,151080,907,497269,12531665,39681,North America,7,1102,0,0.0,0.0,1033.0,2022-05-04
Sao Tome and Principe,5964,0,73,0,5884,0,7,0,26314,322,29036,128111,226648,Africa,38,3105,8,0.0,0.0,31.0,2022-05-04
Saint Kitts and Nevis,5570,4,43,0,5519,0,8,0,103355,798,70707,1312013,53892,North America,10,1253,1,74.0,0.0,148.0,2022-05-04
Cook Islands,5229,29,1,0,4990,49,238,0,297204,57,16982,965215,17594,Australia/Oceania,3,17594,1,1648.0,0.0,13527.0,2022-05-04
Palau,4690,0,6,0,4043,0,641,1,256944,329,46722,2559689,18253,Australia/Oceania,4,3042,0,0.0,0.0,35118.0,2022-05-04
St. Barth,4544,0,6,0,0,0,0,0,457511,604,78646,7918445,9932,North America,2,1655,0,0.0,0.0,410391.0,2022-05-04
Kiribati,3089,5,13,0,2601,0,475,3,25150,106,0,0,122822,Australia/Oceania,40,9448,0,41.0,0.0,3867.0,2022-05-04
Anguilla,2788,0,9,0,2766,0,13,4,182832,590,51382,3369532,15249,North America,5,1694,0,0.0,0.0,853.0,2022-05-04
Saint Pierre Miquelon,2701,0,1,0,2449,0,251,1,470394,174,23446,4083246,5742,North America,2,5742,0,0.0,0.0,43713.0,2022-05-04
Diamond Princess,712,0,13,0,699,0,0,0,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,2022-05-04
Wallis and Futuna,454,0,7,0,438,0,9,0,41739,644,20508,1885446,10877,Australia/Oceania,24,1554,1,0.0,0.0,827.0,2022-05-04
Montserrat,371,98,2,0,198,17,171,0,74230,400,10135,2027811,4998,North America,13,2499,0,19608.0,0.0,34214.0,2022-05-04
Falkland Islands,197,16,0,0,0,0,0,0,53737,0,8632,2354610,3666,South America,19,0,0,4364.0,0.0,19913.0,2022-05-04
Macao,82,0,0,0,82,0,0,0,123,0,5375,8075,665626,Asia,8117,0,124,0.0,0.0,0.0,2022-05-04
Vatican City,29,0,0,0,29,0,0,0,36025,0,0,0,805,Europe,28,0,0,0.0,0.0,0.0,2022-05-04
Marshall Islands,17,0,0,0,14,0,3,0,284,0,0,0,59925,Australia/Oceania,3525,0,0,0.0,0.0,50.0,2022-05-04
Western Sahara,10,0,1,0,9,0,0,0,16,2,0,0,624359,Africa,62436,624359,0,0.0,0.0,0.0,2022-05-04
MS Zaandam,9,0,2,0,7,0,0,0,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,2022-05-04
Niue,9,0,0,0,8,1,1,0,5468,0,0,0,1646,Australia/Oceania,183,0,0,0.0,0.0,608.0,2022-05-04
Micronesia,7,0,0,0,1,0,6,0,60,0,0,0,117242,Australia/Oceania,16749,0,0,0.0,0.0,51.0,2022-05-04
Nauru,5,0,0,0,3,0,2,0,457,0,0,0,10949,Australia/Oceania,2190,0,0,0.0,0.0,183.0,2022-05-04
Saint Helena,2,0,0,0,2,0,0,0,327,0,0,0,6110,Africa,3055,0,0,0.0,0.0,0.0,2022-05-04
China,218571,373,5141,13,200675,2125,12755,650,152,4,160000000,111163,1439323776,Asia,6585,279970,9,0.3,0.01,9.0,2022-05-05
USA,83456944,78191,1024095,307,80872092,30253,1560757,1714,249441,3061,1010205779,3019368,334575277,North America,4,327,0,234.0,0.9,4665.0,2022-05-05
India,43094548,3155,524002,27,42547699,0,22847,698,30673,373,838955577,597131,1404976711,Asia,33,2681,2,2.0,0.02,16.0,2022-05-05
Brazil,30524183,21682,663967,151,29609094,6722,251122,8318,141748,3083,63776166,296164,215340527,South America,7,324,3,101.0,0.7,1166.0,2022-05-05
France,28849915,44225,146498,122,27426415,125280,1277002,1511,440192,2235,269816888,4116868,65539354,Europe,2,447,0,675.0,2.0,19485.0,2022-05-05
Germany,25203564,87201,136564,159,23000500,159200,2066500,1279,299056,1620,122332384,1451551,84277039,Europe,3,617,1,1035.0,2.0,24520.0,2022-05-05
UK,22107483,10896,175984,438,21428795,32738,502704,277,322537,2568,518950767,7571239,68542387,Europe,3,389,0,159.0,6.0,7334.0,2022-05-05
Russia,18211178,5011,376560,139,17578659,8723,255959,2300,124692,2578,273400000,1871966,146049633,Europe,8,388,1,34.0,1.0,1753.0,2022-05-05
S. Korea,17438068,42277,23158,79,0,0,0,441,339590,451,15804065,307769,51350394,Asia,3,2217,3,823.0,2.0,320258.0,2022-05-05
Italy,16683043,48672,164179,138,15353323,70523,1165541,369,276676,2723,215257228,3569878,60298201,Europe,4,367,0,807.0,2.0,19330.0,2022-05-05
Turkey,15038495,1253,98819,11,14935811,1782,3865,975,174847,1149,159515125,1854624,86009425,Asia,6,870,1,15.0,0.1,45.0,2022-05-05
Spain,11990533,18526,104802,67,11460312,6703,425419,339,256273,2240,471036328,10067437,46788109,Europe,4,446,0,396.0,1.0,9092.0,2022-05-05
Vietnam,10666751,4305,43049,2,9314420,5084,1309282,480,107799,435,85803579,867136,98950598,Asia,9,2299,1,44.0,0.02,13232.0,2022-05-05
Argentina,9083673,0,128653,0,8895999,0,59021,372,197647,2799,35716069,777127,45959118,South America,5,357,1,0.0,0.0,1284.0,2022-05-05
Netherlands,8056397,1669,22269,3,7898759,0,135369,58,468268,1294,21107399,1226842,17204654,Europe,2,773,1,97.0,0.2,7868.0,2022-05-05
Japan,7978912,26720,29708,25,7597588,46310,351616,166,63444,236,49108094,390478,125763913,Asia,16,4233,3,212.0,0.2,2796.0,2022-05-05
Iran,7224056,228,141145,7,6997050,2193,85861,991,84028,1642,50914586,592226,85971597,Asia,12,609,2,3.0,0.08,999.0,2022-05-05
Australia,6130748,54868,7424,57,5800078,61927,323246,133,235396,285,69733213,2677471,26044435,Australia/Oceania,4,3508,0,2107.0,2.0,12411.0,2022-05-05
Colombia,6093645,978,139809,12,5927076,600,26760,342,117454,2695,34560302,666144,51881103,South America,9,371,2,19.0,0.2,516.0,2022-05-05
Indonesia,6047741,250,156340,19,5884770,445,6631,2771,21688,561,95898504,343911,278847134,Asia,46,1784,3,0.9,0.07,24.0,2022-05-05
Poland,5998906,909,116099,29,5334813,49,547994,1125,158826,3074,36133322,956659,37770322,Europe,6,325,1,24.0,0.8,14509.0,2022-05-05
Mexico,5740080,0,324350,0,5039624,0,376106,4798,43675,2468,15801675,120232,131426017,North America,23,405,8,0.0,0.0,2862.0,2022-05-05
Ukraine,5002870,0,108411,0,0,0,0,177,115673,2507,19521252,451356,43250266,Europe,9,399,2,0.0,0.0,19340.0,2022-05-05
Malaysia,4454113,1278,35569,2,4391090,2599,27454,66,134447,1074,58880012,1777283,33129220,Asia,7,931,1,39.0,0.06,829.0,2022-05-05
Thailand,4300614,9790,28917,54,4170419,17109,101278,1496,61330,412,17270775,246295,70122349,Asia,16,2425,4,140.0,0.8,1444.0,2022-05-05
Austria,4166759,5755,18222,22,4078247,7515,70290,84,457836,2002,183682889,20182748,9100985,Europe,2,499,0,632.0,2.0,7723.0,2022-05-05
Belgium,4088336,4414,31552,12,3850029,10351,206755,124,349955,2701,33714218,2885883,11682461,Europe,3,370,0,378.0,1.0,17698.0,2022-05-05
Israel,4086801,1383,10729,30,4052605,0,23467,150,438216,1150,41373364,4436346,9326000,Asia,2,869,0,148.0,3.0,2516.0,2022-05-05
Portugal,3920171,13992,22399,17,0,0,0,61,386529,2209,41456888,4087647,10141993,Europe,3,453,0,1380.0,2.0,100729.0,2022-05-05
Czechia,3910394,1206,40199,6,3857431,853,12764,24,363908,3741,55251048,5141762,10745548,Europe,3,267,0,112.0,0.6,1188.0,2022-05-05
South Africa,3818125,9757,100471,64,3668982,5829,48672,192,62917,1656,24592030,405241,60684949,Africa,16,604,2,161.0,1.0,802.0,2022-05-05
Canada,3783091,11631,39673,188,3473768,3654,269650,468,98643,1034,61107311,1593360,38351239,North America,10,967,1,303.0,5.0,7031.0,2022-05-05
Philippines,3686543,168,60439,0,3621410,166,4694,289,32838,538,29658380,264181,112265386,Asia,30,1857,4,1.0,0.0,42.0,2022-05-05
Switzerland,3619035,0,13865,0,3492051,2700,113119,69,412608,1581,20851897,2377336,8771118,Europe,2,633,0,0.0,0.0,12897.0,2022-05-05
Chile,3569492,3309,57597,17,3434620,2251,77275,197,183822,2966,37210046,1916243,19418229,South America,5,337,1,170.0,0.9,3980.0,2022-05-05
Peru,3568692,829,212906,15,0,0,0,295,105529,6296,29981447,886575,33817168,South America,9,159,1,25.0,0.4,48352.0,2022-05-05
Greece,3348756,5191,29315,31,3248273,11110,71168,224,324198,2838,80328232,7776688,10329363,Europe,3,352,0,503.0,3.0,6890.0,2022-05-05
Denmark,2970002,808,6218,11,2950099,1862,13685,8,509457,1067,127263854,21830089,5829745,Europe,2,938,0,139.0,2.0,2347.0,2022-05-05
Romania,2897528,685,65545,19,2606660,0,225323,167,152489,3449,22791438,1199452,19001541,Europe,7,290,1,36.0,1.0,11858.0,2022-05-05
Sweden,2503090,0,18791,0,2472416,1204,11883,16,245036,1840,18534055,1814365,10215175,Europe,4,544,1,0.0,0.0,1163.0,2022-05-05
Iraq,2325397,45,25212,0,2298717,146,1468,13,55521,602,18489800,441461,41883203,Asia,18,1661,2,1.0,0.0,35.0,2022-05-05
Serbia,2008740,597,16015,4,1978619,0,14106,23,231619,1847,9522660,1098016,8672603,Europe,4,542,1,69.0,0.5,1627.0,2022-05-05
Bangladesh,1952747,4,29127,0,1896788,257,26832,1273,11644,174,14001137,83485,167709326,Asia,86,5758,12,0.02,0.0,160.0,2022-05-05
Hungary,1903200,0,46266,0,1808061,0,48873,40,197936,4812,11355462,1180990,9615207,Europe,5,208,1,0.0,0.0,5083.0,2022-05-05
Slovakia,1783906,553,19952,9,1750517,2410,13437,50,326453,3651,7107056,1300585,5464509,Europe,3,274,1,101.0,2.0,2459.0,2022-05-05
Jordan,1694216,0,14048,0,1678941,0,1227,124,163069,1352,16670254,1604519,10389567,Asia,6,740,1,0.0,0.0,118.0,2022-05-05
Georgia,1655221,0,16811,0,1637293,0,1117,0,416400,4229,16920079,4256543,3975075,Asia,2,236,0,0.0,0.0,281.0,2022-05-05
Pakistan,1528624,21,30372,0,1494141,0,4111,107,6681,133,28215463,123327,228784884,Asia,150,7533,8,0.09,0.0,18.0,2022-05-05
Ireland,1521474,1147,7108,5,1470009,2727,44357,39,301921,1411,12088609,2398865,5039304,Europe,3,709,0,228.0,1.0,8802.0,2022-05-05
Norway,1427485,337,3006,0,0,0,0,20,259577,547,11002430,2000709,5499266,Europe,4,1829,0,61.0,0.0,242856.0,2022-05-05
Kazakhstan,1305566,9,13660,0,1291187,60,719,24,68033,712,11575012,603177,19190079,Asia,15,1405,2,0.5,0.0,37.0,2022-05-05
Singapore,1208917,4733,1344,4,1145576,1423,61997,6,203692,226,23767171,4004558,5935030,Asia,5,4416,0,797.0,0.7,10446.0,2022-05-05
Hong Kong,1205717,321,9333,5,0,0,0,5,158461,1227,44972952,5910547,7608932,Asia,6,815,0,42.0,0.7,155495.0,2022-05-05
Morocco,1165084,58,16069,0,1148708,47,307,293,30891,426,11237010,297939,37715777,Africa,32,2347,3,2.0,0.0,8.0,2022-05-05
Bulgaria,1158793,439,36965,12,988914,1922,132914,77,169113,5395,9877826,1441556,6852197,Europe,6,185,1,64.0,2.0,19397.0,2022-05-05
Croatia,1125723,961,15865,9,1104237,665,5621,17,277362,3909,4804096,1183660,4058680,Europe,4,256,1,237.0,2.0,1385.0,2022-05-05
Cuba,1103606,118,8527,0,1094417,150,662,23,97544,754,12920253,1141981,11313892,North America,10,1327,1,10.0,0.0,59.0,2022-05-05
Lebanon,1097268,64,10395,2,1083156,1386,3717,186,162097,1536,4795578,708441,6769196,Asia,6,651,1,9.0,0.3,549.0,2022-05-05
Lithuania,1059188,189,9112,2,1027684,849,22392,20,399330,3435,8260224,3114231,2652412,Europe,3,291,0,71.0,0.8,8442.0,2022-05-05
Finland,1052767,29754,4150,211,46000,0,1002617,21,189464,747,10773620,1938900,5556562,Europe,5,1339,1,5355.0,38.0,180438.0,2022-05-05
Tunisia,1040712,0,28566,0,0,0,0,29,86393,2371,4584296,380558,12046235,Africa,12,422,3,0.0,0.0,-1212.83,2022-05-05
Slovenia,1013974,1029,6605,3,995213,1276,12156,23,487613,3176,2649740,1274242,2079464,Europe,2,315,1,495.0,1.0,5846.0,2022-05-05
Belarus,981259,189,6963,5,928536,0,45760,0,103907,737,13180098,1395664,9443602,Europe,10,1356,1,20.0,0.5,4846.0,2022-05-05
Nepal,978899,15,11951,0,966730,15,218,0,32520,397,5648397,187647,30101179,Asia,31,2519,5,0.5,0.0,7.0,2022-05-05
New Zealand,969959,8697,774,21,914741,9096,54444,0,193910,155,7095449,1418494,5002100,Australia/Oceania,5,6463,1,1739.0,4.0,10884.0,2022-05-05
Bolivia,905212,62,21924,1,860297,574,22991,220,75648,1832,2705422,226091,11966073,South America,13,546,4,5.0,0.08,1921.0,2022-05-05
Uruguay,899723,0,7210,0,888557,0,3956,18,257366,2062,6091188,1742386,3495888,South America,4,485,1,0.0,0.0,1132.0,2022-05-05
UAE,899637,196,2302,0,883461,301,13874,0,88982,228,156785227,15507415,10110339,Asia,11,4392,0,19.0,0.0,1372.0,2022-05-05
Ecuador,870526,288,35598,0,0,0,0,759,48000,1963,2470170,136202,18136103,South America,21,509,7,16.0,0.0,21562.0,2022-05-05
Costa Rica,857290,0,8421,0,836721,0,12148,42,165508,1626,4291131,828446,5179737,North America,6,615,1,0.0,0.0,2345.0,2022-05-05
Guatemala,848098,607,17653,17,828221,516,2224,5,45780,953,4486196,242164,18525416,North America,22,1049,4,33.0,0.9,120.0,2022-05-05
Latvia,823732,622,5780,3,810145,412,7807,7,445783,3128,7192553,3892432,1847830,Europe,2,320,0,337.0,2.0,4225.0,2022-05-05
Azerbaijan,792599,11,9709,0,782839,35,51,0,76896,942,6826926,662333,10307387,Asia,13,1062,2,1.0,0.0,5.0,2022-05-05
Panama,782265,2117,8189,0,764407,387,9669,8,176195,1844,5909455,1331028,4439767,North America,6,542,1,477.0,0.0,2178.0,2022-05-05
Saudi Arabia,754623,159,9096,2,742239,112,3288,55,21072,254,41940947,1171153,35811663,Asia,47,3937,1,4.0,0.06,92.0,2022-05-05
Sri Lanka,663503,34,16507,0,646136,2,860,0,30748,765,6486117,300582,21578505,Asia,33,1307,3,2.0,0.0,40.0,2022-05-05
Paraguay,649455,0,18870,0,624673,0,5912,2,89042,2587,2623300,359662,7293790,South America,11,387,3,0.0,0.0,811.0,2022-05-05
Kuwait,631409,0,2555,0,628090,0,764,8,143934,582,8007805,1825430,4386805,Asia,7,1717,1,0.0,0.0,174.0,2022-05-05
Myanmar,612965,14,19434,0,591902,8,1629,0,11128,353,7998369,145211,55081174,Asia,90,2834,7,0.3,0.0,30.0,2022-05-05
Palestine,581940,0,5353,0,576242,0,345,17,109395,1006,3078533,578715,5319604,Asia,9,994,2,0.0,0.0,65.0,2022-05-05
Dominican Republic,579572,0,4376,0,574824,0,372,1,52459,396,3283648,297213,11048134,North America,19,2525,3,0.0,0.0,34.0,2022-05-05
Estonia,572434,0,2548,0,511857,0,58029,3,430992,1918,3329716,2506982,1328177,Europe,2,521,0,0.0,0.0,43691.0,2022-05-05
Bahrain,570761,658,1477,1,565928,412,3356,2,315275,816,9737995,5379041,1810359,Asia,3,1226,0,363.0,0.6,1854.0,2022-05-05
Venezuela,522587,23,5709,0,515871,52,1007,230,18474,202,3359014,118745,28287662,South America,54,4955,8,0.8,0.0,36.0,2022-05-05
Moldova,516986,0,11489,0,504142,0,1355,49,128709,2860,3216305,800732,4016708,Europe,8,350,1,0.0,0.0,337.0,2022-05-05
Egypt,515645,0,24613,0,442182,0,48850,122,4870,232,3693367,34881,105886134,Africa,205,4302,29,0.0,0.0,461.0,2022-05-05
Libya,501904,0,6430,0,490973,0,4501,101,71260,913,2477219,351715,7043258,Africa,14,1095,3,0.0,0.0,639.0,2022-05-05
Cyprus,474267,0,1020,0,124370,0,348877,60,387620,834,9477138,7745696,1223536,Asia,3,1200,0,0.0,0.0,285138.0,2022-05-05
Ethiopia,470686,39,7510,0,455720,4,7456,5,3916,62,4804225,39968,120202679,Africa,255,16006,25,0.3,0.0,62.0,2022-05-05
Mongolia,469885,0,2179,0,313256,0,154450,192,139207,646,4030048,1193931,3375446,Asia,7,1549,1,0.0,0.0,45757.0,2022-05-05
Honduras,423794,0,10895,0,132358,0,280541,105,41571,1069,1358559,133264,10194513,North America,24,936,8,0.0,0.0,27519.0,2022-05-05
Armenia,422877,0,8622,0,412026,0,2229,0,142218,2900,3059332,1028887,2973437,Asia,7,345,1,0.0,0.0,750.0,2022-05-05
Réunion,398115,0,756,0,383424,0,13935,7,438901,833,1603660,1767952,907072,Africa,2,1200,1,0.0,0.0,15363.0,2022-05-05
Oman,389126,0,4258,0,384243,0,625,4,72794,797,25000000,4676777,5345562,Asia,14,1255,0,0.0,0.0,117.0,2022-05-05
Bosnia and Herzegovina,377229,142,15768,3,192218,0,169243,0,116311,4862,1761186,543028,3243267,Europe,9,206,2,44.0,0.9,52183.0,2022-05-05
Qatar,364895,69,677,0,363700,55,518,2,129957,241,3455742,1230763,2807805,Asia,8,4147,1,25.0,0.0,184.0,2022-05-05
Kenya,323818,12,5649,0,318042,8,127,0,5788,101,3608332,64491,55950604,Africa,173,9905,16,0.2,0.0,2.0,2022-05-05
Zambia,319755,0,3976,0,315266,0,513,1,16541,206,3429405,177404,19331084,Africa,60,4862,6,0.0,0.0,27.0,2022-05-05
North Macedonia,310063,138,9284,1,300107,86,672,0,148839,4457,2026507,972778,2083217,Europe,7,224,1,66.0,0.5,323.0,2022-05-05
Botswana,305859,0,2688,0,303026,0,145,1,125404,1102,2026898,831038,2438997,Africa,8,907,1,0.0,0.0,59.0,2022-05-05
Albania,275266,55,3496,0,271480,56,290,2,95844,1217,1810232,630301,2872014,Europe,10,822,2,19.0,0.0,101.0,2022-05-05
Algeria,265786,4,6875,0,178359,1,80552,6,5866,152,230861,5095,45308187,Africa,170,6590,196,0.09,0.0,1778.0,2022-05-05
Nigeria,255766,0,3143,0,249914,0,2709,11,1187,15,5075820,23549,215539410,Africa,843,68578,42,0.0,0.0,13.0,2022-05-05
Zimbabwe,248150,100,5472,1,241939,40,739,12,16260,359,2264510,148384,15261118,Africa,61,2789,7,7.0,0.07,48.0,2022-05-05
Luxembourg,240675,543,1068,0,230342,693,9265,1,373302,1657,4236553,6571152,644720,Europe,3,604,0,842.0,0.0,14371.0,2022-05-05
Uzbekistan,238651,15,1637,0,236777,12,237,23,6945,48,1377915,40100,34361909,Asia,144,20991,25,0.4,0.0,7.0,2022-05-05
Montenegro,235549,65,2717,1,232226,109,606,6,374951,4325,2457145,3911331,628212,Europe,3,231,0,103.0,2.0,965.0,2022-05-05
Taiwan,232356,30060,886,5,30973,1276,200497,0,9724,37,15072064,630733,23896116,Asia,103,26971,2,1258.0,0.2,8390.0,2022-05-05
Mozambique,225407,7,2201,0,223159,4,47,13,6858,67,1314949,40009,32866312,Africa,146,14932,25,0.2,0.0,1.0,2022-05-05
Laos,208368,230,748,2,7660,0,199960,0,27894,100,1232128,164947,7469861,Asia,36,9986,6,31.0,0.3,26769.0,2022-05-05
Kyrgyzstan,200993,0,2991,0,196406,0,1596,131,29900,445,1907195,283712,6722283,Asia,33,2248,4,0.0,0.0,237.0,2022-05-05
Iceland,185795,0,119,0,75685,0,109991,0,538039,345,2264004,6556268,345319,Europe,2,2902,0,0.0,0.0,318520.0,2022-05-05
Maldives,179171,0,298,0,163687,0,15186,25,321058,534,2213831,3966984,558064,Asia,3,1873,0,0.0,0.0,27212.0,2022-05-05
Afghanistan,178905,4,7684,0,161916,20,9305,1124,4413,190,944912,23307,40541426,Asia,227,5276,43,0.1,0.0,230.0,2022-05-05
Uganda,164069,0,3596,0,100205,0,60268,2,3390,74,2612795,53985,48398096,Africa,295,13459,19,0.0,0.0,1245.0,2022-05-05
El Salvador,162089,0,4128,0,150662,0,7299,8,24760,631,1950448,297940,6546444,North America,40,1586,3,0.0,0.0,1115.0,2022-05-05
Ghana,161222,6,1445,0,159746,9,31,1,4997,45,2438745,75582,32266411,Africa,200,22330,13,0.2,0.0,1.0,2022-05-05
Namibia,158989,49,4026,1,153662,0,1301,0,60554,1533,1010056,384698,2625583,Africa,17,652,3,19.0,0.4,496.0,2022-05-05
Martinique,153253,0,926,0,104,0,152223,8,408970,2471,828928,2212073,374729,North America,2,405,0,0.0,0.0,406222.0,2022-05-05
Trinidad and Tobago,149950,418,3845,2,137428,415,8677,18,106512,2731,713691,506944,1407829,North America,9,366,2,297.0,1.0,6163.0,2022-05-05
Brunei ,142312,146,218,0,141540,132,554,0,319666,490,717784,1612313,445189,Asia,3,2042,1,328.0,0.0,1244.0,2022-05-05
Guadeloupe,140130,0,854,0,2250,0,137026,19,350106,2134,938039,2343633,400250,North America,3,469,0,0.0,0.0,342351.0,2022-05-05
Cambodia,136259,1,3056,0,133167,11,36,0,7948,178,2954445,172323,17144809,Asia,126,5610,6,0.06,0.0,2.0,2022-05-05
Jamaica,130596,123,2972,2,84044,170,43580,0,43751,996,1011279,338792,2984956,North America,23,1004,3,41.0,0.7,14600.0,2022-05-05
Rwanda,129825,6,1459,0,45522,0,82844,0,9586,108,5290391,390639,13542917,Africa,104,9282,3,0.4,0.0,6117.0,2022-05-05
Cameroon,119780,0,1927,0,117791,0,62,13,4315,69,1751774,63101,27761566,Africa,232,14407,16,0.0,0.0,2.0,2022-05-05
Angola,99194,0,1900,0,97149,0,145,0,2855,55,1499795,43164,34746825,Africa,350,18288,23,0.0,0.0,4.0,2022-05-05
Malta,92475,167,708,5,88213,287,3554,4,208415,1596,1891415,4262757,443707,Europe,5,627,0,376.0,11.0,8010.0,2022-05-05
DRC,87023,0,1337,0,50930,0,34756,0,920,14,846704,8953,94569953,Africa,1087,70733,112,0.0,0.0,368.0,2022-05-05
