"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Datetime
Kyrgyzstan,200990,7,2991,0,196386,0,1613,131,29912,445,1907195,283837,6719339,Asia,33,2247,4,1.0,0.0,240.0,2022-04-25
Iceland,185254,32,114,0,75685,0,109455,0,536565,330,1953616,5658407,345259,Europe,2,3029,0,93.0,0.0,317023.0,2022-04-25
Maldives,179171,288,298,0,163687,0,15186,25,321208,534,2213831,3968840,557803,Asia,3,1872,0,516.0,0.0,27225.0,2022-04-25
Afghanistan,178745,56,7683,1,161790,42,9272,1124,4412,190,941314,23232,40517414,Asia,227,5274,43,1.0,0.02,229.0,2022-04-25
Uganda,164069,0,3596,0,100205,0,60268,2,3393,74,2612795,54030,48358437,Africa,295,13448,19,0.0,0.0,1246.0,2022-04-25
El Salvador,162089,0,4128,1,150662,0,7299,8,24763,631,1950448,297981,6545552,North America,40,1586,3,0.0,0.2,1115.0,2022-04-25
Ghana,161157,33,1445,0,159669,14,43,1,4997,45,2434977,75506,32248654,Africa,200,22317,13,1.0,0.0,1.0,2022-04-25
Namibia,158379,21,4025,0,153662,0,692,0,60350,1534,1002457,381987,2624324,Africa,17,652,3,8.0,0.0,264.0,2022-04-25
Martinique,151358,0,922,0,104,0,150332,8,403905,2460,828928,2212026,374737,North America,2,406,0,0.0,0.0,401167.0,2022-04-25
Trinidad and Tobago,145021,458,3816,3,134078,244,7127,18,103019,2711,697725,495647,1407706,North America,10,369,2,325.0,2.0,5063.0,2022-04-25
Brunei ,141269,150,218,0,140052,170,999,0,317405,490,717784,1612726,445075,Asia,3,2042,1,337.0,0.0,2245.0,2022-04-25
Guadeloupe,140130,0,854,0,2250,0,137026,19,350108,2134,938039,2343644,400248,North America,3,469,0,0.0,0.0,342353.0,2022-04-25
Cambodia,136228,12,3056,0,132945,24,227,0,7949,178,2946965,171950,17138485,Asia,126,5608,6,0.7,0.0,13.0,2022-04-25
Rwanda,129767,0,1458,0,45522,0,82787,0,9588,108,5233320,386676,13534118,Africa,104,9283,3,0.0,0.0,6117.0,2022-04-25
Jamaica,129632,70,2948,0,83068,62,43616,0,43434,988,987440,330845,2984604,North America,23,1012,3,23.0,0.0,14614.0,2022-04-25
Cameroon,119780,0,1927,0,117791,0,62,13,4317,69,1751774,63142,27743456,Africa,232,14397,16,0.0,0.0,2.0,2022-04-25
Angola,99194,0,1900,0,97149,0,145,0,2857,55,1499795,43198,34718761,Africa,350,18273,23,0.0,0.0,4.0,2022-04-25
Malta,90773,178,692,4,85151,505,4930,4,204593,1560,1874109,4224058,443675,Europe,5,641,0,401.0,9.0,11112.0,2022-04-25
DRC,87023,0,1337,0,50930,0,34756,0,921,14,846704,8960,94495223,Africa,1086,70677,112,0.0,0.0,368.0,2022-04-25
Senegal,85989,1,1967,0,84006,2,16,0,4901,112,1065534,60736,17543574,Africa,204,8919,16,0.06,0.0,0.9,2022-04-25
Malawi,85747,0,2633,0,81938,0,1176,67,4282,131,571585,28542,20025820,Africa,234,7606,35,0.0,0.0,59.0,2022-04-25
Ivory Coast,81898,11,799,0,81073,12,26,0,2971,29,1496066,54280,27562125,Africa,337,34496,18,0.4,0.0,0.9,2022-04-25
French Guiana,80422,0,394,0,11254,0,68774,1,257176,1260,622646,1991116,312712,South America,4,794,1,0.0,0.0,219928.0,2022-04-25
Suriname,79302,0,1327,0,49396,0,28579,0,133021,2226,235824,395570,596163,South America,8,449,3,0.0,0.0,47938.0,2022-04-25
Channel Islands,73776,167,167,1,72350,291,1259,0,417358,945,1252808,7087261,176769,Europe,2,1058,0,945.0,6.0,7122.0,2022-04-25
French Polynesia,72678,30,648,0,0,0,0,7,256041,2283,0,0,283853,Australia/Oceania,4,438,0,106.0,0.0,135739.0,2022-04-25
Eswatini,70303,9,1397,0,68813,25,93,11,59481,1182,1013012,857071,1181946,Africa,17,846,1,8.0,0.0,79.0,2022-04-25
Barbados,67934,323,390,1,64319,358,3225,0,235871,1354,642390,2230420,288013,North America,4,738,0,1121.0,3.0,11197.0,2022-04-25
Fiji,64535,2,862,0,62690,6,983,0,71056,949,506984,558215,908224,Australia/Oceania,14,1054,2,2.0,0.0,1082.0,2022-04-25
Madagascar,64152,0,1391,0,59370,0,3391,14,2214,48,422372,14574,28981167,Africa,452,20835,69,0.0,0.0,117.0,2022-04-25
Guyana,63420,4,1228,0,62112,7,80,1,79931,1548,591338,745289,793434,South America,13,646,1,5.0,0.0,101.0,2022-04-25
Sudan,62093,0,4930,0,0,0,0,0,1359,108,562941,12317,45704894,Africa,736,9271,81,0.0,0.0,368.0,2022-04-25
Taiwan,61683,5218,856,0,24010,281,36817,0,2581,36,14343527,600275,23894942,Asia,387,27915,2,218.0,0.0,1541.0,2022-04-25
New Caledonia,60421,0,312,0,60064,0,45,9,208008,1074,98964,340697,290475,Australia/Oceania,5,931,3,0.0,0.0,155.0,2022-04-25
Mauritania,58685,2,982,0,57694,1,9,0,12047,202,800513,164338,4871149,Africa,83,4960,6,0.4,0.0,2.0,2022-04-25
Bhutan,57909,138,20,0,54567,1487,3322,3,73581,25,2287623,2906712,787014,Asia,14,39351,0,175.0,0.0,4221.0,2022-04-25
Belize,57454,35,676,0,56562,28,216,6,139888,1646,536698,1306744,410714,North America,7,608,1,85.0,0.0,526.0,2022-04-25
Cabo Verde,56008,4,401,0,55541,3,66,23,98791,707,400982,707278,566937,Africa,10,1414,1,7.0,0.0,116.0,2022-04-25
Syria,55799,2,3150,0,52111,10,538,0,3054,172,146269,8005,18271174,Asia,327,5800,125,0.1,0.0,29.0,2022-04-25
Gabon,47597,0,303,0,47282,0,12,0,20508,131,1592483,686143,2320921,Africa,49,7660,1,0.0,0.0,5.0,2022-04-25
Papua New Guinea,43732,0,649,0,43025,0,58,7,4726,70,249149,26923,9254257,Australia/Oceania,212,14259,37,0.0,0.0,6.0,2022-04-25
Seychelles,42079,0,165,0,41260,0,654,0,423113,1659,0,0,99451,Africa,2,603,0,0.0,0.0,6576.0,2022-04-25
Curaçao,41966,0,273,0,41251,0,442,3,253862,1651,496693,3004616,165310,North America,4,606,0,0.0,0.0,2674.0,2022-04-25
Andorra,41013,0,153,0,40343,0,517,14,529275,1974,249838,3224174,77489,Europe,2,506,0,0.0,0.0,6672.0,2022-04-25
Burundi,39144,0,38,0,773,0,38333,0,3123,3,345742,27588,12532506,Africa,320,329803,36,0.0,0.0,3059.0,2022-04-25
Mauritius,37544,12,990,0,35738,82,816,0,29433,776,358675,281183,1275595,Africa,34,1288,4,9.0,0.0,640.0,2022-04-25
Mayotte,37038,0,187,0,2964,0,33887,0,130074,657,176919,621324,284745,Africa,8,1523,2,0.0,0.0,119008.0,2022-04-25
