"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Ireland,1512812,1058,7016,20,1423678,7729,82118,43,300292,1393,12033762,2388695,5037798,Europe,3,718,0,210.0,4.0,16300.0
Norway,1424180,551,2871,0,0,0,0,20,259031,522,11002430,2001130,5498109,Europe,4,1915,0,100.0,0.0,242330.0
Kazakhstan,1305465,8,13660,0,1290997,9,808,24,68050,712,11575012,603370,19183944,Asia,15,1404,2,0.4,0.0,42.0
Hong Kong,1202291,431,9267,18,0,0,0,115,158045,1218,44972952,5911837,7607272,Asia,6,821,0,57.0,2.0,155087.0
Singapore,1184226,2058,1331,6,1115829,3067,67066,7,199574,224,23712995,3996275,5933774,Asia,5,4458,0,347.0,1.0,11302.0
Morocco,1164717,17,16066,1,1148272,47,379,293,30891,426,11237010,298034,37703827,Africa,32,2347,3,0.5,0.03,10.0
Bulgaria,1153506,377,36856,2,960286,693,156364,108,168306,5378,9803875,1430467,6853618,Europe,6,186,1,55.0,0.3,22815.0
Croatia,1117822,87,15790,8,1098112,664,3920,24,275368,3890,4766333,1174156,4059368,Europe,4,257,1,21.0,2.0,966.0
Cuba,1101968,237,8525,0,1092199,298,1244,23,97398,753,12920253,1141962,11314080,North America,10,1327,1,21.0,0.0,110.0
Lebanon,1096462,56,10378,3,1079455,0,6629,186,161958,1533,4795578,708354,6770027,Asia,6,652,1,8.0,0.4,979.0
Lithuania,1054881,261,9077,11,1017372,869,28432,31,397552,3421,8219492,3097672,2653442,Europe,3,292,0,98.0,4.0,10715.0
Tunisia,1039532,0,28533,0,0,0,0,29,86319,2369,4563397,378930,12042858,Africa,12,422,3,0.0,0.0,-1064.12
Slovenia,1004836,364,6582,4,981840,540,16414,30,483221,3165,2641294,1270185,2079456,Europe,2,316,1,175.0,2.0,7893.0
Finland,1000472,0,3638,0,46000,0,950834,31,180060,655,10644579,1915758,5556328,Europe,6,1527,1,0.0,0.0,171126.0
Nepal,978762,19,11951,0,966540,17,271,0,32531,397,5620394,186806,30086842,Asia,31,2518,5,0.6,0.0,9.0
Belarus,977962,149,6928,2,928536,0,42498,0,103557,734,13108317,1388051,9443687,Europe,10,1363,1,16.0,0.2,4500.0
Bolivia,904479,33,21908,0,855804,316,26767,220,75614,1832,2693845,225205,11961722,South America,13,546,4,3.0,0.0,2238.0
UAE,897351,215,2302,0,880145,358,14904,0,88784,228,154699849,15306095,10107075,Asia,11,4391,0,21.0,0.0,1475.0
